"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela senilis G.H. Horn, 1866","Ecology. Stenotopic, coastal, riparian, hygrophilous, halophilous, epigean. Tidal salt tlats, salt marshes, and alkali flats away from the seashore. Open ground; wet, muddy or sandy, saline soil. Gregarious.","Biology. Seasonality: March-June, August-October. Spring-fall species. Mating: February-April. Adults found overwintering in a salt marsh in galleries no more than 7.5 cm deep, dug under flat rocks and sheltering one or two individuals. Predators: lizards.","Dispersal power. Wing condition unknown. Fast runner. Conservation status. Frosti morph threatened. Extinct over much of its former distribution.",
"Cicindela severa severa LaFerte-Senectere, 1841","Ecology. Eurytopic, coastal, riparian, hygrophilous, halop~ilous, thermophilous, epigean. Salt marshes, salt tlats, mud flats, ttdal flats, sea beaches, lagoon edges, and drying areas of lake beds. Open ground; moist or wet, muddy (mostly) or sandy, rarely rocky, saline soil with sparse, low vegetation. Adults tend to occur close to the grass. Both diurnal and nocturnal; more active in the morning and in the evening; spontaneously flying in the hottest sunshine. Associated species: C. togata togata and C. pamphila.","Biology. Seasonality: June-September; in LA and MS, June and August. Defense mechamism: cryptic coloration - body color blends perfectly with a rocky background; flies swiftly and strongly (up to 50 m) when disturbed; produces defensive secretions when captured. Very wary. Very difficult to approach. Best collected with a flashlight or a light trap at night.","Dispersal power. Macropterous. Strong flier. Attracted to artificial lights at night. Fast runner. Quite active. Conservation status. Threatened by insecticides and the destruction of its habitat.",
"Cicindela sexguttata Fabricius, 1775","Ecology. Eurytopic, silvicolous, hygrophilous, thermophilous, heliophilous, epigean (adults); fossorial (larva). Forests (mostly deciduous, e.g., oak-hickory; also mixed forests and pine plantations): paths, trails, roads, sunny spots, clearings, brook and river banks, dry brook beds, small sandbars along streams, and forest edges; recently lumbered areas; adjoining old fields, vacant lots, cultivated fields (cotton), meadows, pastures, sparsely grassed fields, ditches, clay banks, sandy gullies, sandy roads, petroleum and gas drill sites, and rocky ravines; vicinity of thickets and hedges situated in fields; city gardens and cement sidewalks with trees and shrubs; alpine meadows. Not particularly associated with water. Open or pattially shaded ground; warm, moist, mostly loamy, sometimes sandy, gravelly or rocky, often grass-grown or sometimes bare soil. Larval habitat: shaded level areas or slight slopes, e.g., along trails ahd dry brook beds; burrows dug into sand, loam or clay, sometimes containing humus; each burrow usually with a visible round opening, sometimes dug close to fallen leaves or Jogs, and usually perpendicular to the soil surface. Diurnal. Preferred body temperature: 31-35°C. Basks and forages with little locomotion, shuttles to shade, and changes posture to regulate. its body temperature; often suns on logs, stones, roc_ks, or sometimes up to one meter high on standing tree trunks, wayside shrubs, fences, stone walls; hides for the night and on cool, cloudy or ramy days, under the loose bark of logs, fallen trees and tree trunks, under stones, boards, fallen branches, cardboard, plant rosettes (Verbascum), and even in the deserted burrows of borers. Adapted to the low ambient temperature of the forest. Basically solitary, but sometimes occurring in large aggregations. Gregarious mostly in wmter and early spring.","Biology. Seasonality: March-November (mostly). May-June, with stragglers in midsummer. Spring-fall species; active almost only in the spring in the northern part of its range, the new adult emergence in the fall but staying in its pupal chamber until the following spring. Duration of life cycle: 2 years. Mating: May-June; mterspecific copulation observed with C. punctulata punctulata, C. purpurea purpurea, C. repanda repanda, C. scutellaris _zecon~ei, C. limbalis, and C. unipunctata. Duration of coitus: 3.5 mm. OvipositiOn: JuneJuly; in shaded, clayey or sandy soil mixed with a little humus, e.g., along sunlit trails and upper stream banks, prefera?Iy under loose dead leaves, sometimes under twigs; each female laymg 7. 7 eggs per day on average. Pupation: July and September. Tenerals: AugustMay. Overwinters in the adult, teneral, larval (mostly third instar, rarely second instar), and pupal stages; adult and teneral hibernate within the pupal chamber under stones and under the loose bark of stumps fallen trees and logs throughout the forest, at its edge, tn clearings, and on gravel banks overlaid with sandy loam. Predaceous. Adult food, in the field: ants, springtails, acridids, scarabids, other beetles, caterpillars, flies, hymenopterans, spiders, worms, and gastropods. One individual observed wa\kmg and running on lily pads, searching for msects, about 50-100 m away from a pond shore. Adult food, in the laboratory: ants, carab1ds, staphylinids, earthworms, mealworms, and lean meat. Adult cannibalistic (in captivity). Larval food, in the field: small arthropods. Larval food, in the laboratory: lean meat. Predators: toads, frogs, crows, flycatchers, jays, thrushes, pheasants, sparrows, foxes, raccoons, ground squirrels, asilid flies, and salticid spiders. Phoretic uropodid mites found attached to adult body. Victim of malaise traps. Defense mechanism: cryptic coloration - body color blends perfectly with the greenness of surrounding trees, shrubs and grass which makes it difficult to see in flight or even when resting on an isolated log; displays abrupt changes from bright metallic green to dark green when flying into the shade to avoid predators; when pursued, makes a hasty disorganized retreat either by running to hide under debris or by making quick, low flights (5.46 m on average), undulating from side to side through the vegetation or in the shade, or, landing on tree trunks and rocks; emits a defensive secretion or a fragrant scent similar to that of an enraged bee when captured. Quite wary. Difficult to approach, even with a long-handled net. Body size apparently greater in northern areas. Old cabinet specimens turning blue with age.","Dispersal power. Macropterous. Strong flier. Fast runner. Very active. A good seasonal disperser: overwinters in the forest, but returns to sunlit areas when the canopy closes in spring.",
"Cicindela sperata inquisitor Casey, 1897","Ecology. Stenotopic, riparian, hygrophilous, epigean. Banks of rivers, brooks, and bodies of standing water. Open ground; wet muddy soil.","Biology. Seasonality: June-August.","Dispersal power. Macropterous. Fast runner.",
"Cicindela sperata sperata LeConte, 1857","Ecology. Stenotopic, riparian, hygrophilous, halophilous, thermophilous, epigean. Banks and bars along brooks and rivers; salt marshes often crossed by streams; meadows and paths close to streams. Open ground; wet, muddy (mostly) or sandy, sometimes saline, bare or sparsely vegetated soil. Both diurnal and nocturnal; very active over the hot steaming mud during the hottest pmt of the day; forages until late afternoon. Gregarious, occurring in swarms.","Biology. Seasonality: May-September. Summer species. Adult food, in the laboratory: caterpillars. Not very difficult to approach.","Dispersal power. Macropterous. Good flier. Often attracted to artificial lights at night in cities. Fast runner.",
"Cicindela splendida Hentz, 1830","Ecology. Stenotopic, hygrophilous, thermophilous, heliophilous, epigean (adult); fossorial (larva). Eroded banks, stream banks, slopes, roads, roadsides, railroad embankments, ditches, roadcuts with sparse to dense grass, trails, clay pits, cliffs, gullies, canyons, powerline cuts, fields, hills, sand dunes, and open sandy forests; edges of small duck ponds. Open or partially shaded ground; sloping, moist (sometimes dry), sparsely to densely vegetated soil consisting of red clay (rarely of pure red sand or sandstone). A lover of sloping reddish clay banks. Larval hpbitat: burrows (9-15 cm deep) abundant in the hardpacked soil of steep clay banks. Diurnal; foraging between 1 o:oo A.M. and 3:30P.M.; either highly active or sunning itself on slopmg banks, e.g., in midmorning. Usually solitary, but sometimes occurring in numbers. Associated species: C. limbalis, C. purpurea purpurea, and C. denverensis.","Biology. Seasonality: January-July, September-November; in NE, March-April, September. Early to emerge in the spring, particularly in the southern United States. Spring-fall species. Duration of life cycle: 2-3 years. Mating: May; interspecific copulation observed with C. limbalis and C. denverensis. Pupation: July. Tenerals: September; requiring 2-3 days to acquire the typical red and green colors. Overwinters both in the adult and larval (second and third instars) stages, in burrows. Predaceous. Adult food, in the field: lygaeid bugs. Adult food, in the laboratory: mealworms, other insects, and small earthwworms. Larval food, in the field: young locusts. Larval food, in the laboratory: tenebrionid adults and larvae. Defense mechanism: cryptic coloration - body color blends with the surrounding red clay; quickly takes wing when it sees its pursuer, even from 3m away. Quite wary. Difficult to approach because of its swiftness and the unevenness of its habitat.","Dispersal power. Macropterous. Good flier. Fast runner. Very active.",
"Cicindela striga LeConte, 1875","Ecology. Stenotopic, coastal, riparian, hygrophilous, halophilous, crepuscular, epigean. Salt marsh areas, salt mud flats of river mouths, and a meadow-like opening in a pine forest close to a bay. Open ground; wet, saline, muddy, bare soil. Diurnal, crepuscular, and nocturnal; apparently more abundant during twilight; shelters under dead leaves beneath small bushes during rain. Associated species: C. severa severa.","Biology. Seasonality: April-August, mostly June-August. Summer species. Predaceous. Adult food, in the field: small insects. Defense . mechanism: escapes by flight. Best collected by light trapping.","Dispersal power. Macropterous. Good flier. Attracted in large numbers to artificial lights at night, especially during or after rain. Fast runner.",
"Cicindela tenuicincta Schaupp, 1884","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Large salt flats and beaches along lakes and ponds; edges of pools and streams. Close to the water's edge. Open ground; moist, saline soil. Both diurnal and nocturnal. Male more active than female. Associated species: C. arida.","Biology. Seasonality: May-September. Predaceous. Adult food, in the field: small flies. Defense mechanism: escapes by flight. Not very shy.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela tenuisignata LeConte, 1851","Ecology. Eurytopic, riparian, hygrophilous, halophilous, epigean (adult); fossorial (larva). Edges of permanent ponds, lakes, and pools; beaches and bars along rivers and brooks; margins of estuaries; edges of irrigation ditches; grassy marshlands and very wet spots; alkali flats and mud flats. Open ground; wet, muddy or sandy, saline soiL Larval habitat: burrows dug into pond edges. Both diurnal (mostly) and diurnaL Solitary. Associated species: C. ocellata rectilatera and C. sperata sperata.","Biology. Seasonality May-November. Summer species. Predaceous. Adult food, in the laboratory: beetles and flies.","Dispersal power. Wing condition unknown. Attracted to artificial lights at night. Fast runner.",
"Cicindela terricola cinctipennis LeConte, 1848","Ecology. Eurytopic, steppicolous, hygrophilous, halophilous, therrnophobous, epigean. Grasslands, prairies, grassy meadows, grassy or thinly wooded fields, roads, roadsides, outwashes, dry creek beds, edges of alkali ponds, rivers, creeks, springs and irrigation ditches. Open ground; wet, sometimes dry, usually clayey or muddy, sometimes sandy, often saline soil with short sparse vegetation. Adults tend to occur close to the grass. Diurnal; remains active until 7:00 P.M.; hides beneath plants during the hottest part of the day. Gregarious. Associated species: C. fulgida fulgida, C. longilabris laurentii, C. nigrocoerulea nigrocoerulea, and C. nigrocoerulea bowditchi.","Biology. Seasonality: April-September; in CO, mostly July-August. Summer species. Defense mechanism: when disturbed, escapes by running or flying. When captured, gets out easily from under a net.","Dispersal power. Macropterous, capable of flight. Fast runner",
"Cicindela terricola imperfecta LeConte, 1851","Ecology. Eurytopic, steppicolous, hygrophilous, therrnophobous, halophilous, epigean. Banks and bars along rivers and brooks; alkali flats bordering ponds, lakes, and springs; dirt roads, roadsides, and sagebrush areas. Open ground; usually wet soil consisting of sandy clay (AB), but in the western United States, consisting of mud, rarely of sand, and often alkaline with sparse vegetation. Diurnal; hides in the grass during the heat of the late afternoon. Solitary.","Biology. Seasonality: May (rarely)-August. Predaceous. Adult food, in the field: weevils and halictid wasps.","Dispersal power. Macropterous, capable of flight. Fast runner.",
"Cicindela terricola kaibabensis Johnson, 1990","Ecology. Epigean. Grassy meadows. Adults tend to occur among the grasses. Diurnal. Solitary.","Biology. Seasonality: July (mostly)-August. Defense mechanism: difficult to see among the grass. Flies 2 to 5 min open areas and then comes back to the grass when pursued.","Dispersal power. Macropterous. Weak flier. Fast runner.",
"Cicindela terricola lunalonga Schaupp, 1884","Ecology. Eurytopic, riparian, halophilous, epigean. River and brook banks, alkali sites near water, meadows, and shaded paths. Open or shaded ground; moist or dry, sandy, often alkaline, vegetated soiL Diurnal. Solitary.","Biology. Seasonality: May-July.","Dispersal power. Macropterous, capable of flight. Fast runner.",
"Cicindela terricola terricola Say, 1824","Ecology. Eurytopic, hygrophilous, steppicolous, halophilous, epigean. Grasslands, cultivated fields (com, oat), roadside ditches, saline spots along roads, grass-grown gravel pits; muddy or gravelly river banks; shores of alkali lakes and sloughs, and alkali flats. Adults tend to occur in or near the vegetation. Open ground; moist, often alkaline soil consisting of clay, dark loam or mud, sometimes sand or gravel, without vegetation, with sparse vegetation, or with bare areas surrounded with grass or low plants. Diurnal; active up to 7:00 P.M. Solitary.","Biology. Seasonality: June-August. Defense mechanism: does not attempt to fly, but runs quickly in the grass when pursued.","Dispersal power. Macropterous, capable of flight. Very fast runner.",
"Cicindela theatina Rotger, 1944","Ecology. Stenotopic, xerophilous, psammophilous, epigean. Sand dunes; swales between dunes. Well-drained, shifting, loose, dry, sandy, bare or sparsely vegetated soil. Adults tend to occur in or near sparsely vegetated edges. Diurnal; still foraging at 5:00P.M.; burrows into the sand during the day in very strong winds; hides for the night in a burrow with slightly cemented walls at its opening.","Biology. Seasonality: May-September. Spring- fall species, with stragglers in midsummer. Tenerals: August. Predaceous. Adult food, in the field: ichneumonid wasps. Wary.","Dispersal power. Wing condition unknown. Fast runner.",
"Cicindela togata fascinans Casey, 1914","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Alkali flats bordering ponds and lakes. Open ground; moist saline soil. Both diurnal and nocturnal.","Biology. Seasonality: July-September, rarely July. Defense mechanism: extensive white maculations blend perfectly with patches of crystallized salt in its habitat. Best collected with a flashlight at night.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner.",
"Cicindela togata globicollis Casey, 1913","Ecology. Eurytopic, hygrophilous, halophilous, thermophilous, epigean (adult); fossorial (larva). Salt flats and alkali flats (mostly); salt marshes, saline ditches, roadside ditches; small salty spots in pastures and fields; banks and sand bars along brooks and rivers; shores of lakes and ponds Open ground; wet or moist (sometimes dry), sandy or muddy, saline, bare (mostly) or partially grassed soil. Adults tend to occur at or near vegetation edges. Larval habitat: salt flats with moist or dry bare soil, among the vegetation in the vicinity of hummocks, and on a sloping creek bank; burrows (third instar) ranging from I 0 to 18 cm in depth. Diurnal; seen foraging from early morning until 6:00 P.M.; becomes inactive at about 38-39°C; able to stand high temperatures better than other species of saline habitats. Gregarious. Associated species: C. circumpicta johnsonii, C. fulgida fulgida, C. nevadica knausii, and C. nigrocoerulea nigrocoerulea.","Biology. Seasonality: April-October, mostly June. Summer species. Duration of life cycle: 2 years, sometimes 3. Mating: June. Oviposition: female digs oviposition holes in the soil, lays one egg in each hole, and then fills it with loose soil. Tenerals: June. Defense mechanism: cryptic coloration - red body color and extensive white elytral maculations blend pefectly with the red soil and the patches of crystallized salt of salt flats; quickly escapes by flight when pursued. Best collected with a flashlight or a light trap at night.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night and running crazily in the illuminated areas. Short-distance disperser. Fast runner. Agile.",
"Cicindela togata togata LaF erte-Senectere, 1841","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, thermophilous; epigean. Salt flats (mostly) and alkali flats along sea beaches, lagoons, ocean inlets, estuaries, marshes (high areas), rivers, creeks, Jakes, ponds, pools, and abandoned oil wells. Open ground; wet, muddy (mostly) or sandy, saline, bare (mostly) or sparsely grassed soil. Adults tend to occur in open areas away from vegetation. Both diurnal and nocturnal; forages m early morning; active throughout the day; able to endure hot temperatures; sluggish and unable to fly at 22°C. Gregarious, occasionally in large numbers.","Biology. Seasonality: April-August, October; in SC, May-August. Summer species. Mating: June. Predaceous. Adult food, m the field: hemipteran bugs and spiders. Adults cannibalistic. Predators: kestrels and asilid flies. Defense mechanism: cryptic coloration - highly reflective dull green body and extensive pale elytral maculations blend with the sand and algae in the drier parts of salt flats; hardly visible against its background when motionless; when pursued, prefers to run instead of flying unless persistently chased, then flies quickly. Very wary. Difficult to approach. Best collected with a light trap at night.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela tranquebarica cibecuei Duncan, 1958","Ecology. Riparian, hygrophilous, epigean. Creek banks.","Biology. Seasonality: April.","Dispersal power. Macropterous. Fast runner.",
"Cicindela tranquebarica diffracta Casey, 1909","Ecology. Stenotopic, riparian, hygrophilous, epigean. Banks and flats along rivers and brooks. Open ground; moist or wet, muddy (mostly) or sandy, bare or sparsely vegetated soil. Diurnal; seen foraging from 11 :30 A.M. until early afternoon. Gregarious.","Biology. Seasonality: July. Predaceous. Adult food, in the laboratory: small crickets. Defense mechanism: cryptic coloration -coppery red body blends perfectly with the sandstone deposits of stream beds.","Dispersal power. Macropterous. Fast runner.",
"Cicindela tranquebarica kirbyi LeConte, 1866","Ecology. Eurytopic, halotolerant, thermophobous, epigean. Alkali mud flats, high beaches, upper zone of creek beds, blowouts, prairie grasslands, and forest trails. Open ground; muddy or sandy, sometimes alkaline soil with sparse vegetation. Diurnal; hides on high beaches, away from the water's edge, during the hottest parts of the day.","Biology. Seasonality: March-June, September. Overwinters at least in the adult stage. Predaceous. Adult food, in the field: ants. Adult food, in the laboratory: small crickets.","Dispersal power. Macropterous. Fast runner. Early to colonize disturbed areas.",
"Cicindela tranquebarica parallelonota Casey, 1914","Ecology. Eurytopic, riparian, hygrophilous, halophilous, epigean. Edges of small alkaline pools; mud flats bordering lakes; river banks. Open ground; wet, often alkaline soil consisting of sand or mud, sometimes mixed with gravel or covered with basalt stones. Larval habitat: edges of small alkaline pools. Diurnal; seen foraging at midday and in late afternoon. Either solitary or gregarious.","Biology. Seasonality: April-July. Spring-fall species. Defense mechanism: cryptic coloration - slight violet or green lustre of blackish elytra blends with surrounding basalt stones. Not wary. Individuals darkening in color with age.","Dispersal power. Macropterous. Fast runner.",
"Cicindela tranquebarica sierra Leng, 1902","Ecology. Stenotopic, riparian, hygrophilous, epigean. Stream banks. Open ground; moist soil vegetated with grass. Diurnal.","Biology. Seasonality: July. Predaceous. Adult food, in the field: flies.","Dispersal power. Macropterous. Fast runner.",
"Cicindela tranquebarica tranquebarica Herbst, 1806","Ecology. Eurytopic, psammophilous, halotolerant, thermophilous, heliophilous, epigean; fossorial (larva). Beaches of oceans, lakes, rivers and brooks; stream sand bars, dry stream beds, alkali flats, salt flats, sandy or mud flats, bare spots, sand dunes, sand hills, blowouts, old fields, stubble fields, pastures, prairies, sagebrush areas, blueberry barrens, little- used sandy roads, trails and paths, roads with fine gravel, roadsides, roadside ditches, alkali ditches, railroad cuts, powerline cuts, cement sidewalks, sandy patches, eroded slopes, borrow pits, sand pits, gravel pits, dumps, sand traps on golf courses, strip mines, alpine meadows; open spots, clearings, and roads in forests. Occasionally alights on old rail fences and stumps at the edge of forests. Not particularly associated with water. Open ground; dry or moist, occasionally saline, bare or sparsely vegetated (fine grass or weeds) soil preferably consisting of sand, but also commonly made up of dark fine gravel, mud or clay. Larval habitat: similar to adult, e.g., sandy spots and roadsides; bun·ows, sometimes aggregated, straight, ranging from 22 to 50 cm in depth; a larval colony may comprise hundreds of individuals. Larva very sensitive to approaching movement, a single shadow will send it to the bottom of its burrow. Both diurnal (mostly) and nocturnal; becomes active at 9:00 A.M., but mostly active between noon and 2:00 P.M., during the hottest part of the day; forages, basks, stilts, and shuttles from moist to dry areas or in the shade of small plants to regulate its body temperature between 33°C and 38°C; flies spontaneously and frequently in the sunshine; hides for the .night and on cloudy, cool or rainy days in self-constructed holes dug mto small sandy mounds, paths and river banks, exceptionally under stones and pieces of wood; stays motionless, as if being paralyzed during sudden rain just after sunshine. Solitary, semi-gregarious or gregarious. Associated species: C. repanda repanda.","Biology. Seasonality: January-November, with stragglers in. the summer; in OH, April-May, September- October. Early to appear m the spnng. Females more numerous than males in the spring, but males much more numerous than females in the fall. Spring-fall species. Duration of life cycle: 2 years. Mating: May-July, mostly on sunny days, but sometimes on humid, cloudy days; copulation lasts 4.1-15 min. Interspecific copulation observed with C. purpurea purpurea and C. scutellaris lecontei. Oviposition: in April-May, on humid, cloudy days; in a variety of habitats with the water table near the soil surface; eggs preferably laid into moist, sandy, sparsely vegetated soil containing some humus. Duration of larval life: 12-13 months. Pupation: July-August. Tenerals: July-September; in the laboratory, sexual maturity reached the following spring, after overwintering. Duration of adult life: 10-11 months. Overwinters both in the adult and larval (third in star) stages; in burrows (adult, 15-1 00 cm deep) dug into sandy or clayish soil, e.g., river banks. Adult sometimes found in the same hibernation hole with C. duodecimguttata and C. limbalis. Predaceous. Adult food, in the field: ants, acridids, cutworms, aphids, bees, small beetles, and other small insects. Adult food, in the laboratory: ants, bees, carabids, chrysomelids, tenebrionid larvae, house flies, other insects, small earthworms, and lean meat. When put in a small container, adults quickly grasp one another with their mandibles. Larval food, in the field: ants, libellulid dragonflies, other dragonflies, carabids, weevils, an elaterid, and a wasp. Larval food, in the laboratory: caterpillars, cricket nymphs, drosophilid flies, muscid flies, ants, and lean meat. Food restriction is the principal cause of larval mortality. Predators: toads, crows, woodpeckers, flycatchers, and theridiid spiders. Larval parasites: bombyliid flies. Defense mechanism: cryptic coloration - body color blends perfectly with the sand, small sl:ones, dead lichens or other debris lying on the ground; rarely flies in the sunshine unless alarmed, then takes wing readily and frequently performs an irregular, low, sustained flight (3-10m long on average), undulating from side to side, occasionally hovering a moment, and upon landing, bounces and walks quickly away from the point of impact; produces defensive secretions and a sweet honey-like scent when captured. Quite wary. Rather difficult to approach.","Dispersal power. Macropterous. Strong flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela tranquebarica vibex G.H. Hom, 1866","Ecology. Eurytopic, coastal, hygrophilous, halophilous, epigean (adult); fossorial (larva). Sea beaches, alkali flats (mostly) and salt flats along lakes, ponds, streams, and in irrigated pastures; dry lakes, roads near a lake, and forest openings. Larval habitat: burrows dug in saltgrass areas along ditches. Open ground; dry, moist or wet, sometimes hard-packed, saline, bare or sparsely vegetated soil. Diurnal; hides under dried cow chips for the night. Gregarious.","Biology. Seasonality: April-October. Defense mechanism: escapes by slowly flying at a distance of 3 to 5 m, and always turns to face its pursuer at the last moment when it lands. Easily captured.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela tranquebarica viridissima Fall, 1910","Ecology. Unknown.","Biology. Seasonality: March, October-November.","Dispersal power. Macropterous. Fast runner. Conservation status. Rare subspecies. Restricted to the Santa Ana River basin (CA). Endangered by human encroachment of its habitat.",
"Cicindela trifasciata ascendens LeConte, 1851","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, thermophilous, epigean (adult); fossorial (larva). Sandy beaches and mud flats along the sea shore; estuaries, lagoons, marshes, rivers, brooks, creeks, lakes, ponds, islands, and inlets; stream sand bars, edges of small pools bordering highways, drying beds of salt lakes, moist sandy places in hummocks, narrow sandy paths through meadows, and muddy cultivated fields (rice). Open ground; wet, often saline, bare or sparsely vegetated soil usually consisting of dark sand or mud, rarely of rock. Larval habitat: burrows. Both diurnal and nocturnal; remains active and flies in the sunshine during the hottest part of the day. Usually gregarious, occasionally solitary.","Biology. Seasonality: January-December; in LA and MS, AprilDecember, mostly June-August. Summer species, usually emerges in late May-early June, but remains active until early fall; possibly active throughout the year in FL. Predaceous. Adult food, in the field: ants. Defense mechanism: cryptic coloration - body color blends perfectly with the wet ground of mud flats covered with algae; escape by flying normally less than 1-2m when pursued. Very wary. Difficult to approach. Best captured with a light trap at night.","Dispersal power. Macropterous. A regular, although weak flier. Exceptionally a long- distance disperser, e.g., caught on offshore platforms at about 160 km from Galveston (TX). Often attracted to artificial lights at night. Fast runner.",
"Cicindela trifasciata sigmoidea LeConte, 1851","Ecology. Stenotopic, coastal, hygrophilous, halophilous, epigean (adult); fossorial (larva). Sea beaches: sand flats and mud flats; sandy banks of estuaries. Open ground; moist or wet, bare soil usually consisting of dark sand or mud. Larval habitat: Tidal flats, just above the high tide line; burrows (3. 7-7.5 cm deep) dug either in sand covered with mud or in pure sand. Adults tend to occur on the ground, intertidal rocks or boulders during the day. Both diurnal and nocturnal. Gregarious, swarms by the thousands.","Biology. Seasonality: April-August, mostly May-June. Predaceous. Adult food, in the field: isopods.","Dispersal power. Macropterous. Often attracted in considerable numbers to artificial lights at night. Fast runner. Conservation status. Rare subspecies. Threatened by housing development and recreational land-use.",
